mapping_id	subject_id	predicate_id	object_id	mapping_justification	confidence	xwkont_confidence_category	xwkont_relation_category	xwkont_status	comment	xwkont_provenance
xwkont:mapping:process:001	BFO:Process	skos:closeMatch	SUMO:Process	semapv:ManualMappingCuration	0.8	medium-high	close-match	candidate	Both are genuine top-level formal siblings in their respective hierarchies, both denoting physical activity/happening. Not `exact-equivalence-candidate` because their defining criteria differ (BFO: temporal-parts-and-participant-based; SUMO: physicality-partition-based, per `continuant-occurrent.md`).	xwkont:ref:bfo-2020, xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:process:002	BFO:Process	skos:closeMatch	DOLCE:Process	semapv:ManualMappingCuration	0.6	medium	close-match	candidate	DOLCE's Process is the closest analog but sits one level down in DOLCE's hierarchy (under Stative), unlike BFO's direct top-level placement.	xwkont:ref:bfo-2020, xwkont:ref:dolce-wonderweb-d18
xwkont:mapping:process:003	DOLCE:Process	skos:closeMatch	SUMO:Process	semapv:ManualMappingCuration	0.6	medium	close-match	candidate	Same rationale as mapping-001/002 combined.	xwkont:ref:dolce-wonderweb-d18, xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:process:004	BFO:Process		"UFO:""life of an endurant"""	semapv:ManualMappingCuration	0.4	low-medium	unknown	candidate	"UFO has no distinct Process class (confirmed 2026-07-01 by direct primary-source reading); the informal ""life of an endurant"" notion is a different kind of thing (a sum of manifestation events tied to a specific endurant) than BFO's general Process category. Confidence raised from low to low-medium because the non-equivalence itself is now directly confirmed rather than inferred from secondary sources — the mapping remains `unknown`/non-equivalent either way."	xwkont:ref:bfo-2020, xwkont:ref:ufo-2021
xwkont:mapping:process:005	BFO:Process	skos:closeMatch	GFO:Process	semapv:ManualMappingCuration	0.8	medium-high	close-match	candidate	Both are genuine, positively-defined top-level-ish formal categories under their respective occurrent branches, both explicitly grounded in temporal extension rather than exclusion or cumulativity. Not `exact-equivalence-candidate` because BFO's criterion (temporal-proper-part-and-participant) and GFO's (not reducible to a collection of time-boundaries) are formally different tests.	xwkont:ref:bfo-2020, xwkont:ref:gfo
xwkont:mapping:process:006	GFO:Process	skos:closeMatch	SUMO:Process	semapv:ManualMappingCuration	0.6	medium	close-match	candidate	Same rationale pattern as `mapping-001`/`mapping-003` (BFO/SUMO, DOLCE/SUMO): both top-level-ish formal Process categories, different defining criteria (GFO: positive/temporal; SUMO: exclusion-from-Object).	xwkont:ref:gfo, xwkont:ref:sumo-niles-pease-2001
xwkont:mapping:process:007	GFO:Process	skos:closeMatch	DOLCE:Process	semapv:ManualMappingCuration	0.6	medium	close-match	candidate	Same rationale pattern as `mapping-002`: DOLCE's Process sits one level down under `Stative`, GFO's sits directly under `Occurrent`, but both use the same term for the same conceptual territory.	xwkont:ref:gfo, xwkont:ref:dolce-wonderweb-d18
xwkont:mapping:process:008	BFO:Process	skos:closeMatch	YAMATO:Occurrent(Process)	semapv:ManualMappingCuration	1.0	high	close-match	candidate	Restates `continuant-occurrent.md`'s mapping-011 at this crosswalk's finer grain: YAMATO's report does not distinguish a Process-specific class from its top-level Occurrent(Process) label, so this mapping is the same underlying correspondence, not new evidence at a finer level of detail.	xwkont:ref:bfo-2020, xwkont:ref:yamato-mizoguchi-2010
xwkont:mapping:process:009	BFO:Process		TUpper:activity	semapv:ManualMappingCuration	0.2	low	unknown	candidate	Structural analog only: `activity` is a repeatable type, while BFO's Process denotes particulars — a type/token mismatch, not a category-definition mismatch (contrast `mapping-005`/`006`/`007`, which compare like-for-like particular-denoting categories). Consistent with TUpper's `unknown`/low precedent throughout this buildout.	xwkont:ref:bfo-2020, xwkont:ref:tupper-colore
xwkont:mapping:process:010	BFO:Process	skos:closeMatch	GUM:Process	semapv:ManualMappingCuration	0.6	medium	close-match	candidate	"The only new source with an identically-named class (""Process""), but GUM's criterion is linguistic (verb-realizability in systemic-functional grammar) rather than temporal/metaphysical — a terminological match without a matching definitional criterion, so capped at medium despite the label match."	xwkont:ref:bfo-2020, xwkont:ref:gum-owl
